id,title,abstract,categories,authors,published_date,updated_date
2503.17349v1,Beyond Semantics: Rediscovering Spatial Awareness in Vision-Language Models,"Vision-Language Models (VLMs) excel at identifying and describing objects but
struggle with spatial reasoning such as accurately understanding the relative
positions of objects. Inspired by the dual-pathway (ventral-dorsal) model of
human vision, we investigate why VLMs fail spatial tasks despite strong object
recognition capabilities. Our interpretability-driven analysis reveals a
critical underlying cause: vision embeddings in VLMs are treated primarily as
semantic ``bag-of-tokens,"" overshadowing subtle yet crucial positional cues due
to their disproportionately large embedding norms. We validate this insight
through extensive diagnostic experiments, demonstrating minimal performance
impact when token orders or fine-grained spatial details are removed. Guided by
these findings, we propose simple, interpretable interventions, including
normalizing vision embedding norms and extracting mid-layer spatially rich
features, to restore spatial awareness. Empirical results on both our synthetic
data and standard benchmarks demonstrate improved spatial reasoning
capabilities, highlighting the value of interpretability-informed design
choices. Our study not only uncovers fundamental limitations in current VLM
architectures but also provides actionable insights for enhancing structured
perception of visual scenes.",['cs.CV'],"['Jianing Qi', 'Jiawei Liu', 'Hao Tang', 'Zhigang Zhu']",2025-03-21,2025-03-21
2503.17347v1,Dereflection Any Image with Diffusion Priors and Diversified Data,"Reflection removal of a single image remains a highly challenging task due to
the complex entanglement between target scenes and unwanted reflections.
Despite significant progress, existing methods are hindered by the scarcity of
high-quality, diverse data and insufficient restoration priors, resulting in
limited generalization across various real-world scenarios. In this paper, we
propose Dereflection Any Image, a comprehensive solution with an efficient data
preparation pipeline and a generalizable model for robust reflection removal.
First, we introduce a dataset named Diverse Reflection Removal (DRR) created by
randomly rotating reflective mediums in target scenes, enabling variation of
reflection angles and intensities, and setting a new benchmark in scale,
quality, and diversity. Second, we propose a diffusion-based framework with
one-step diffusion for deterministic outputs and fast inference. To ensure
stable learning, we design a three-stage progressive training strategy,
including reflection-invariant finetuning to encourage consistent outputs
across varying reflection patterns that characterize our dataset. Extensive
experiments show that our method achieves SOTA performance on both common
benchmarks and challenging in-the-wild images, showing superior generalization
across diverse real-world scenes.",['cs.CV'],"['Jichen Hu', 'Chen Yang', 'Zanwei Zhou', 'Jiemin Fang', 'Xiaokang Yang', 'Qi Tian', 'Wei Shen']",2025-03-21,2025-03-21
2503.17340v1,Align Your Rhythm: Generating Highly Aligned Dance Poses with Gating-Enhanced Rhythm-Aware Feature Representation,"Automatically generating natural, diverse and rhythmic human dance movements
driven by music is vital for virtual reality and film industries. However,
generating dance that naturally follows music remains a challenge, as existing
methods lack proper beat alignment and exhibit unnatural motion dynamics. In
this paper, we propose Danceba, a novel framework that leverages gating
mechanism to enhance rhythm-aware feature representation for music-driven dance
generation, which achieves highly aligned dance poses with enhanced rhythmic
sensitivity. Specifically, we introduce Phase-Based Rhythm Extraction (PRE) to
precisely extract rhythmic information from musical phase data, capitalizing on
the intrinsic periodicity and temporal structures of music. Additionally, we
propose Temporal-Gated Causal Attention (TGCA) to focus on global rhythmic
features, ensuring that dance movements closely follow the musical rhythm. We
also introduce Parallel Mamba Motion Modeling (PMMM) architecture to separately
model upper and lower body motions along with musical features, thereby
improving the naturalness and diversity of generated dance movements. Extensive
experiments confirm that Danceba outperforms state-of-the-art methods,
achieving significantly better rhythmic alignment and motion diversity. Project
page: https://danceba.github.io/ .","['cs.MM', 'cs.AI', 'cs.CV', 'cs.SD', 'eess.AS']","['Congyi Fan', 'Jian Guan', 'Xuanjia Zhao', 'Dongli Xu', 'Youtian Lin', 'Tong Ye', 'Pengming Feng', 'Haiwei Pan']",2025-03-21,2025-03-21
2503.17339v1,Can AI expose tax loopholes? Towards a new generation of legal policy assistants,"The legislative process is the backbone of a state built on solid
institutions. Yet, due to the complexity of laws -- particularly tax law --
policies may lead to inequality and social tensions. In this study, we
introduce a novel prototype system designed to address the issues of tax
loopholes and tax avoidance. Our hybrid solution integrates a natural language
interface with a domain-specific language tailored for planning. We demonstrate
on a case study how tax loopholes and avoidance schemes can be exposed. We
conclude that our prototype can help enhance social welfare by systematically
identifying and addressing tax gaps stemming from loopholes.","['cs.CY', 'cs.AI']","['Peter Fratrič', 'Nils Holzenberger', 'David Restrepo Amariles']",2025-03-21,2025-03-21
2503.17338v1,Capturing Individual Human Preferences with Reward Features,"Reinforcement learning from human feedback usually models preferences using a
reward model that does not distinguish between people. We argue that this is
unlikely to be a good design choice in contexts with high potential for
disagreement, like in the training of large language models. We propose a
method to specialise a reward model to a person or group of people. Our
approach builds on the observation that individual preferences can be captured
as a linear combination of a set of general reward features. We show how to
learn such features and subsequently use them to quickly adapt the reward model
to a specific individual, even if their preferences are not reflected in the
training data. We present experiments with large language models comparing the
proposed architecture with a non-adaptive reward model and also adaptive
counterparts, including models that do in-context personalisation. Depending on
how much disagreement there is in the training data, our model either
significantly outperforms the baselines or matches their performance with a
simpler architecture and more stable training.","['cs.AI', 'cs.LG', 'stat.ML']","['André Barreto', 'Vincent Dumoulin', 'Yiran Mao', 'Nicolas Perez-Nieves', 'Bobak Shahriari', 'Yann Dauphin', 'Doina Precup', 'Hugo Larochelle']",2025-03-21,2025-03-21
2503.17336v1,Efficient Intent-Based Filtering for Multi-Party Conversations Using Knowledge Distillation from LLMs,"Large language models (LLMs) have showcased remarkable capabilities in
conversational AI, enabling open-domain responses in chat-bots, as well as
advanced processing of conversations like summarization, intent classification,
and insights generation. However, these models are resource-intensive,
demanding substantial memory and computational power. To address this, we
propose a cost-effective solution that filters conversational snippets of
interest for LLM processing, tailored to the target downstream application,
rather than processing every snippet. In this work, we introduce an innovative
approach that leverages knowledge distillation from LLMs to develop an
intent-based filter for multi-party conversations, optimized for compute power
constrained environments. Our method combines different strategies to create a
diverse multi-party conversational dataset, that is annotated with the target
intents and is then used to fine-tune the MobileBERT model for multi-label
intent classification. This model achieves a balance between efficiency and
performance, effectively filtering conversation snippets based on their
intents. By passing only the relevant snippets to the LLM for further
processing, our approach significantly reduces overall operational costs
depending on the intents and the data distribution as demonstrated in our
experiments.","['cs.CL', 'cs.AI']","['Reem Gody', 'Mohamed Abdelghaffar', 'Mohammed Jabreel', 'Ahmed Tawfik']",2025-03-21,2025-03-21
2503.17332v1,CVE-Bench: A Benchmark for AI Agents' Ability to Exploit Real-World Web Application Vulnerabilities,"Large language model (LLM) agents are increasingly capable of autonomously
conducting cyberattacks, posing significant threats to existing applications.
This growing risk highlights the urgent need for a real-world benchmark to
evaluate the ability of LLM agents to exploit web application vulnerabilities.
However, existing benchmarks fall short as they are limited to abstracted
Capture the Flag competitions or lack comprehensive coverage. Building a
benchmark for real-world vulnerabilities involves both specialized expertise to
reproduce exploits and a systematic approach to evaluating unpredictable
threats. To address this challenge, we introduce CVE-Bench, a real-world
cybersecurity benchmark based on critical-severity Common Vulnerabilities and
Exposures. In CVE-Bench, we design a sandbox framework that enables LLM agents
to exploit vulnerable web applications in scenarios that mimic real-world
conditions, while also providing effective evaluation of their exploits. Our
evaluation shows that the state-of-the-art agent framework can resolve up to
13% of vulnerabilities.","['cs.CR', 'cs.AI', 'I.2.1; I.2.7']","['Yuxuan Zhu', 'Antony Kellermann', 'Dylan Bowman', 'Philip Li', 'Akul Gupta', 'Adarsh Danda', 'Richard Fang', 'Conner Jensen', 'Eric Ihli', 'Jason Benn', 'Jet Geronimo', 'Avi Dhir', 'Sudhit Rao', 'Kaicheng Yu', 'Twm Stone', 'Daniel Kang']",2025-03-21,2025-03-21
2503.17331v1,A Topological Data Analysis Framework for Quantifying Necrosis in Glioblastomas,"In this paper, we introduce a shape descriptor that we call ""interior
function"". This is a Topological Data Analysis (TDA) based descriptor that
refines previous descriptors for image analysis. Using this concept, we define
subcomplex lacunarity, a new index that quantifies geometric characteristics of
necrosis in tumors such as conglomeration. Building on this framework, we
propose a set of indices to analyze necrotic morphology and construct a diagram
that captures the distinct structural and geometric properties of necrotic
regions in tumors. We present an application of this framework in the study of
MRIs of Glioblastomas (GB). Using cluster analysis, we identify four distinct
subtypes of Glioblastomas that reflect geometric properties of necrotic
regions.","['math.AT', 'cs.CV']","['Francisco Tellez', 'Enrique Torres-Giese']",2025-03-21,2025-03-21
2503.17329v1,Predicting Potential Customer Support Needs and Optimizing Search Ranking in a Two-Sided Marketplace,"Airbnb is an online marketplace that connects hosts and guests to unique
stays and experiences. When guests stay at homes booked on Airbnb, there are a
small fraction of stays that lead to support needed from Airbnb's Customer
Support (CS), which may cause inconvenience to guests and hosts and require
Airbnb resources to resolve. In this work, we show that instances where CS
support is needed may be predicted based on hosts and guests behavior. We build
a model to predict the likelihood of CS support needs for each match of guest
and host. The model score is incorporated into Airbnb's search ranking
algorithm as one of the many factors. The change promotes more reliable matches
in search results and significantly reduces bookings that require CS support.",['cs.LG'],"['Do-kyum Kim', 'Han Zhao', 'Huiji Gao', 'Liwei He', 'Malay Haldar', 'Sanjeev Katariya']",2025-03-21,2025-03-21
2503.17316v1,Pow3R: Empowering Unconstrained 3D Reconstruction with Camera and Scene Priors,"We present Pow3r, a novel large 3D vision regression model that is highly
versatile in the input modalities it accepts. Unlike previous feed-forward
models that lack any mechanism to exploit known camera or scene priors at test
time, Pow3r incorporates any combination of auxiliary information such as
intrinsics, relative pose, dense or sparse depth, alongside input images,
within a single network. Building upon the recent DUSt3R paradigm, a
transformer-based architecture that leverages powerful pre-training, our
lightweight and versatile conditioning acts as additional guidance for the
network to predict more accurate estimates when auxiliary information is
available. During training we feed the model with random subsets of modalities
at each iteration, which enables the model to operate under different levels of
known priors at test time. This in turn opens up new capabilities, such as
performing inference in native image resolution, or point-cloud completion. Our
experiments on 3D reconstruction, depth completion, multi-view depth
prediction, multi-view stereo, and multi-view pose estimation tasks yield
state-of-the-art results and confirm the effectiveness of Pow3r at exploiting
all available information. The project webpage is
https://europe.naverlabs.com/pow3r.",['cs.CV'],"['Wonbong Jang', 'Philippe Weinzaepfel', 'Vincent Leroy', 'Lourdes Agapito', 'Jerome Revaud']",2025-03-21,2025-03-21
2503.17309v1,LLM+MAP: Bimanual Robot Task Planning using Large Language Models and Planning Domain Definition Language,"Bimanual robotic manipulation provides significant versatility, but also
presents an inherent challenge due to the complexity involved in the spatial
and temporal coordination between two hands. Existing works predominantly focus
on attaining human-level manipulation skills for robotic hands, yet little
attention has been paid to task planning on long-horizon timescales. With their
outstanding in-context learning and zero-shot generation abilities, Large
Language Models (LLMs) have been applied and grounded in diverse robotic
embodiments to facilitate task planning. However, LLMs still suffer from errors
in long-horizon reasoning and from hallucinations in complex robotic tasks,
lacking a guarantee of logical correctness when generating the plan. Previous
works, such as LLM+P, extended LLMs with symbolic planners. However, none have
been successfully applied to bimanual robots. New challenges inevitably arise
in bimanual manipulation, necessitating not only effective task decomposition
but also efficient task allocation. To address these challenges, this paper
introduces LLM+MAP, a bimanual planning framework that integrates LLM reasoning
and multi-agent planning, automating effective and efficient bimanual task
planning. We conduct simulated experiments on various long-horizon manipulation
tasks of differing complexity. Our method is built using GPT-4o as the backend,
and we compare its performance against plans generated directly by LLMs,
including GPT-4o, V3 and also recent strong reasoning models o1 and R1. By
analyzing metrics such as planning time, success rate, group debits, and
planning-step reduction rate, we demonstrate the superior performance of
LLM+MAP, while also providing insights into robotic reasoning. Code is
available at https://github.com/Kchu/LLM-MAP.","['cs.RO', 'cs.AI']","['Kun Chu', 'Xufeng Zhao', 'Cornelius Weber', 'Stefan Wermter']",2025-03-21,2025-03-21
2503.17308v1,On Quantum Perceptron Learning via Quantum Search,"With the growing interest in quantum machine learning, the perceptron -- a
fundamental building block in traditional machine learning -- has emerged as a
valuable model for exploring quantum advantages. Two quantum perceptron
algorithms based on Grover's search, were developed in arXiv:1602.04799 to
accelerate training and improve statistical efficiency in perceptron learning.
This paper points out and corrects a mistake in the proof of Theorem 2 in
arXiv:1602.04799. Specifically, we show that the probability of sampling from a
normal distribution for a $D$-dimensional hyperplane that perfectly classifies
the data scales as $\Omega(\gamma^{D})$ instead of $\Theta({\gamma})$, where
$\gamma$ is the margin. We then revisit two well-established linear programming
algorithms -- the ellipsoid method and the cutting plane random walk algorithm
-- in the context of perceptron learning, and show how quantum search
algorithms can be leveraged to enhance the overall complexity. Specifically,
both algorithms gain a sub-linear speed-up $O(\sqrt{N})$ in the number of data
points $N$ as a result of Grover's algorithm and an additional $O(D^{1.5})$
speed-up is possible for cutting plane random walk algorithm employing quantum
walk search.","['quant-ph', 'cs.LG', 'stat.ML']","['Xiaoyu Sun', 'Mathieu Roget', 'Giuseppe Di Molfetta', 'Hachem Kadri']",2025-03-21,2025-03-21
2503.17299v1,Preference-Guided Diffusion for Multi-Objective Offline Optimization,"Offline multi-objective optimization aims to identify Pareto-optimal
solutions given a dataset of designs and their objective values. In this work,
we propose a preference-guided diffusion model that generates Pareto-optimal
designs by leveraging a classifier-based guidance mechanism. Our guidance
classifier is a preference model trained to predict the probability that one
design dominates another, directing the diffusion model toward optimal regions
of the design space. Crucially, this preference model generalizes beyond the
training distribution, enabling the discovery of Pareto-optimal solutions
outside the observed dataset. We introduce a novel diversity-aware preference
guidance, augmenting Pareto dominance preference with diversity criteria. This
ensures that generated solutions are optimal and well-distributed across the
objective space, a capability absent in prior generative methods for offline
multi-objective optimization. We evaluate our approach on various continuous
offline multi-objective optimization tasks and find that it consistently
outperforms other inverse/generative approaches while remaining competitive
with forward/surrogate-based optimization methods. Our results highlight the
effectiveness of classifier-guided diffusion models in generating diverse and
high-quality solutions that approximate the Pareto front well.","['cs.LG', 'cs.AI']","['Yashas Annadani', 'Syrine Belakaria', 'Stefano Ermon', 'Stefan Bauer', 'Barbara E Engelhardt']",2025-03-21,2025-03-21
2503.17290v1,Calibration Strategies for Robust Causal Estimation: Theoretical and Empirical Insights on Propensity Score Based Estimators,"The partitioning of data for estimation and calibration critically impacts
the performance of propensity score based estimators like inverse probability
weighting (IPW) and double/debiased machine learning (DML) frameworks. We
extend recent advances in calibration techniques for propensity score
estimation, improving the robustness of propensity scores in challenging
settings such as limited overlap, small sample sizes, or unbalanced data. Our
contributions are twofold: First, we provide a theoretical analysis of the
properties of calibrated estimators in the context of DML. To this end, we
refine existing calibration frameworks for propensity score models, with a
particular emphasis on the role of sample-splitting schemes in ensuring valid
causal inference. Second, through extensive simulations, we show that
calibration reduces variance of inverse-based propensity score estimators while
also mitigating bias in IPW, even in small-sample regimes. Notably, calibration
improves stability for flexible learners (e.g., gradient boosting) while
preserving the doubly robust properties of DML. A key insight is that, even
when methods perform well without calibration, incorporating a calibration step
does not degrade performance, provided that an appropriate sample-splitting
approach is chosen.","['stat.ML', 'cs.LG', 'econ.EM', 'stat.ME']","['Jan Rabenseifner', 'Sven Klaassen', 'Jannis Kueck', 'Philipp Bach']",2025-03-21,2025-03-21
2503.17289v1,3D Neural Operator-Based Flow Surrogates around 3D geometries: Signed Distance Functions and Derivative Constraints,"Accurate modeling of fluid dynamics around complex geometries is critical for
applications such as aerodynamic optimization and biomedical device design.
While advancements in numerical methods and high-performance computing have
improved simulation capabilities, the computational cost of high-fidelity 3D
flow simulations remains a significant challenge. Scientific machine learning
(SciML) offers an efficient alternative, enabling rapid and reliable flow
predictions. In this study, we evaluate Deep Operator Networks (DeepONet) and
Geometric-DeepONet, a variant that incorporates geometry information via signed
distance functions (SDFs), on steady-state 3D flow over complex objects. Our
dataset consists of 1,000 high-fidelity simulations spanning Reynolds numbers
from 10 to 1,000, enabling comprehensive training and evaluation across a range
of flow regimes. To assess model generalization, we test our models on a random
and extrapolatory train-test splitting. Additionally, we explore a
derivative-informed training strategy that augments standard loss functions
with velocity gradient penalties and incompressibility constraints, improving
physics consistency in 3D flow prediction. Our results show that
Geometric-DeepONet improves boundary-layer accuracy by up to 32% compared to
standard DeepONet. Moreover, incorporating derivative constraints enhances
gradient accuracy by 25% in interpolation tasks and up to 45% in extrapolatory
test scenarios, suggesting significant improvement in generalization
capabilities to unseen 3D Reynolds numbers.",['cs.LG'],"['Ali Rabeh', 'Adarsh Krishnamurthy', 'Baskar Ganapathysubramanian']",2025-03-21,2025-03-21
